userid,event_type,status_code,ip,useragent
john,login,200,109.184.11.34,"mozilla/5.0 (linux; android 6.0.1; redmi note 5 build/rb3n5c; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/68.0.3440.91 mobile safari/537.36"
bob,login,200,83.149.9.216,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
mary,login,200,109.184.11.34,"mozilla/5.0 (linux; android 6.0.1; redmi note 5 build/rb3n5c; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/68.0.3440.91 mobile safari/537.36"
abigail,login,200,175.45.176.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.1.17 (KHTML, like Gecko) Version/7.1 Safari/537.85.10"
doug,login,200,218.30.103.62,"Mozilla/5.0 (Linux; U; Android 2.2) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
james,login,200,198.46.149.143,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-en) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
william,login,200,86.1.76.62,"Mozilla/5.0 (iPad; CPU OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
sally,login,200,207.241.237.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10"
abigail,login,200,175.45.176.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.1.17 (KHTML, like Gecko) Version/7.1 Safari/537.85.10"
emily,login,200,97.116.185.190,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
joseph,login,200,90.220.199.149,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
lauren,login,401,71.207.12.53,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
lauren,login,401,71.207.12.53,"Mozilla/5.0 (Linux; U; Android 2.2) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
abigail,login,200,175.45.176.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.1.17 (KHTML, like Gecko) Version/7.1 Safari/537.85.10"
lauren,login,200,71.207.12.53,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-en) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
charlotte,login,200,23.20.152.13,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/84.0.4135.0 Safari/537.36"
jules,login,200,109.184.11.34,"mozilla/5.0 (linux; android 6.0.1; redmi note 5 build/rb3n5c; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/68.0.3440.91 mobile safari/537.36"
daniel,login,200,54.255.13.204,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/84.0.4135.0 Safari/537.36"
abigail,login,200,175.45.176.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.1.17 (KHTML, like Gecko) Version/7.1 Safari/537.85.10"
henry,login,401,175.13.244.207,"ChromeBrowser Agent"
henry,login,401,61.91.63.122,"MoZillA"
henry,login,401,24.78.152.43,"ChromeBrowser Agent"
henry,login,401,93.185.116.46,"MoZillA"
abigail,login,200,175.45.176.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.1.17 (KHTML, like Gecko) Version/7.1 Safari/537.85.10"
henry,login,401,198.27.70.131,"MoZillA"
henry,login,401,92.246.9.59,"ChromeBrowser Agent"
henry,login,401,98.120.100.73,"ChromeBrowser Agent"
henry,login,401,46.166.188.244,"MoZillA"
abigail,login,200,175.45.176.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.1.17 (KHTML, like Gecko) Version/7.1 Safari/537.85.10"
henry,login,401,14.126.79.24,"ChromeBrowser Agent"
henry,login,401,218.249.57.178,"ChromeBrowser Agent"
henry,login,401,14.189.214.103,"MoZillA"
henry,login,401,14.189.214.103,"MoZillA"
abigail,login,200,175.45.176.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.1.17 (KHTML, like Gecko) Version/7.1 Safari/537.85.10"
henry,login,200,76.171.199.131,"ChromeBrowser Agent"
roger,login,200,109.184.11.34,"mozilla/5.0 (linux; android 6.0.1; redmi note 5 build/rb3n5c; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/68.0.3440.91 mobile safari/537.36"
abigail,login,200,175.45.176.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.1.17 (KHTML, like Gecko) Version/7.1 Safari/537.85.10"
natalia,login,200,83.149.9.216,"Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/5.0)"
abigail,login,200,175.45.176.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.1.17 (KHTML, like Gecko) Version/7.1 Safari/537.85.10"
rogrigo,login,200,83.149.9.216,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.29.2 (KHTML, like Gecko) Version/5.0.4 Safari/535.29.2"
erik,login,200,83.149.9.216,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.29.2 (KHTML, like Gecko) Version/5.0.4 Safari/535.29.2"
christine,login,401,67.199.248.17,"Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/5.1)"
christine,login,401,67.199.248.17,"Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/5.1)"
christine,login,200,67.199.248.17,"Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/5.1)"
abigail,login,200,175.45.176.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.1.17 (KHTML, like Gecko) Version/7.1 Safari/537.85.10"
